"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"6. Miscellaneous","","6A. Should be accessible from mobile","1","5","20","0","0"
"Setup","","Authentication","0","1","15","0","0"
"1. Wallet connect","","","0","0","4","0","0"
"","","","0","0","0","101","0"
"7. Proposal submission","","","0","0","1","0","0"
"8. Proposal Discussion Forum","","","0","4","6","0","0"
"6. Miscellaneous","","","0","0","8","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
"4. Proposal visibility","","","1","1","1","0","0"
"2. Delegation","","","0","0","3","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"Setup","","proposal","0","0","1","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"3. DRep registration","","","0","0","1","0","0"
"Setup","","Faucet","0","0","1","0","0"
