"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","0","logged in","proposals/proposalVisibility.loggedin.spec.ts","Logged in specs","","","4C.1: Should filter Governance Action Type on governance actions page @slow @smoke",""
"failed","Thu Apr 11 15:35:08 GMT 2024","Thu Apr 11 15:35:38 GMT 2024","29816","wallet bootstrap","wallet.bootstrap.ts","","","","Fund faucet wallet",""
"passed","Thu Apr 11 15:35:23 GMT 2024","Thu Apr 11 15:35:35 GMT 2024","12428","independent","miscellaneous/miscellaneous.spec.ts","","","","6C. Navigation within the dApp @smoke @fast",""
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","0","logged in","proposals/proposalVisibility.loggedin.spec.ts","Logged in specs","","","4C.3: Should filter and sort Governance Action Type on governance actions page",""
"failed","Thu Apr 11 15:35:08 GMT 2024","Thu Apr 11 15:35:19 GMT 2024","10974","stake setup","stake.setup.ts","","","","Register stake of static wallet: addr_test1qrvnzuqxfkpw4ww752e3gx7gs5p7eq8f8jrfr7mtygl7xyy80stauk7e0pfxu2yrxsg5ltdx98mfn388nyu54fzu92ksmdwpzc",""
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","1","logged in","proposals/proposalVisibility.loggedin.spec.ts","Logged in specs","","","4B.1: Should restrict voting for users who are not registered as DReps (with wallet connected) @critical @flaky @fast",""
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","1","logged in","delegation/delegationAccessibility.loggedin.spec.ts","Logged in specs","","","2B. Should access delegation to dRep page @smoke @fast",""
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","0","logged in","miscellaneous/miscellaneous.loggedin.spec.ts","Logged in specs","","","6B. Provides error for invalid format @fast @smoke",""
"broken","Thu Apr 11 15:35:35 GMT 2024","Thu Apr 11 15:36:05 GMT 2024","30073","independent","wallet-connect/walletConnect.spec.ts","","","","1A. Should connect wallet and choose stake-key to use @smoke @fast",""
"broken","Thu Apr 11 15:35:40 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","30658","independent","wallet-connect/walletConnect.spec.ts","","","","1C: Should disconnect Wallet When connected @smoke @fast",""
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","0","logged in","miscellaneous/miscellaneous.loggedin.spec.ts","Logged in specs","","","6D: Proper label and recognition of the testnet network @fast @smoke",""
"failed","Thu Apr 11 15:35:40 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","29899","cleanup adaHolder","adaholder.teardown.ts","","","","Abstain delegation",""
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","0","logged in","proposals/proposalVisibility.loggedin.spec.ts","Logged in specs","","","4C.2: Should sort Governance Action Type on governance actions page",""
"broken","Thu Apr 11 15:35:08 GMT 2024","Thu Apr 11 15:35:39 GMT 2024","30828","auth setup","auth.setup.ts","","","","Create DRep 01 auth",""
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","0","logged in","drep-registration/dRepRegistrationAccessibility.loggedin.spec.ts","Logged in specs","","","3E. Should reject invalid data and accept valid data @smoke @fast",""
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","0","dRep","delegation/delegationAccessibility.dRep.spec.ts","DRep specs","","","2D. Verify DRep Behavior in Connected State @smoke @fast",""
"passed","Thu Apr 11 15:35:40 GMT 2024","Thu Apr 11 15:35:47 GMT 2024","7235","independent","wallet-connect/walletConnect.spec.ts","","","","1D. Should check correct network (Testnet/Mainnet) on connection @smoke @fast",""
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","0","logged in","delegation/delegationAccessibility.loggedin.spec.ts","Logged in specs","","","2I. Should check validity of DRep Id @slow @regression",""
"skipped","Thu Apr 11 15:35:38 GMT 2024","Thu Apr 11 15:35:38 GMT 2024","0","wallet bootstrap","wallet.bootstrap.ts","","","","Register DRep",""
"skipped","Thu Apr 11 15:35:38 GMT 2024","Thu Apr 11 15:35:38 GMT 2024","0","wallet bootstrap","wallet.bootstrap.ts","","","","Fund static wallets",""
"failed","Thu Apr 11 15:35:20 GMT 2024","Thu Apr 11 15:35:21 GMT 2024","1105","independent","delegation/delegationAccessibility.dRep.spec.ts","DRep specs","","","2D. Verify DRep Behavior in Connected State @smoke @fast",""
"failed","Thu Apr 11 15:35:08 GMT 2024","Thu Apr 11 15:35:19 GMT 2024","10971","stake setup","stake.setup.ts","","","","Register stake of static wallet: addr_test1qqutux2gua6zd6k2n7t8hmx9g4d3r575p7cxhxwa82qh6hn4c7j7zys8yleyydk0kkvpasc0659zdp994j5xdgfr5ymqyne2p2",""
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","0","logged in","drep-registration/dRepRegistrationAccessibility.loggedin.spec.ts","Logged in specs","","","3B. Should access DRep registration page @fast @smoke",""
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","0","logged in","wallet-connect/walletConnect.loggedin.spec.ts","","","","1B: Should connect wallet with single stake key @smoke @fast",""
"broken","Thu Apr 11 15:35:08 GMT 2024","Thu Apr 11 15:35:39 GMT 2024","30704","auth setup","auth.setup.ts","","","","Create User 01 auth",""
"passed","Thu Apr 11 15:35:21 GMT 2024","Thu Apr 11 15:35:32 GMT 2024","11683","independent","delegation/delegationAccessibility.spec.ts","","","","2C. Verify DRep Behavior in Disconnected State",""
"failed","Thu Apr 11 15:35:08 GMT 2024","Thu Apr 11 15:35:19 GMT 2024","10964","stake setup","stake.setup.ts","","","","Register stake of static wallet: addr_test1qp5nu3n0y5sny48qv87ujhu2turm7mhsmcz83tdl3x3nprmugeqjjej9u4tupfjzdc2q5zw5hfpr69v2hg02up4t57tstdrzh5",""
"broken","Thu Apr 11 15:35:32 GMT 2024","Thu Apr 11 15:36:02 GMT 2024","30076","independent","proposals/proposalVisibility.spec.ts","","","","4A.2: Should access Governance Actions page without connecting wallet @smoke @fast",""
"skipped","Thu Apr 11 15:36:10 GMT 2024","Thu Apr 11 15:36:10 GMT 2024","0","logged in","drep-registration/dRepRegistrationAccessibility.loggedin.spec.ts","Logged in specs","","","3D.Verify DRep registration functionality with Wallet Connected State State @fast",""
"skipped","Thu Apr 11 15:35:08 GMT 2024","Thu Apr 11 15:35:08 GMT 2024","284","wallet bootstrap","wallet.bootstrap.ts","","","","Setup mock wallets",""
"passed","Thu Apr 11 15:35:33 GMT 2024","Thu Apr 11 15:35:42 GMT 2024","9401","independent","proposals/proposalVisibility.spec.ts","","","","4B.2: Should restrict voting for users who are not registered as DReps (without wallet connected) @critical @flaky @fast",""
