"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"6. Miscellaneous","","6A. Should be accessible from mobile","1","8","20","0","0"
"Setup","","Authentication","0","0","16","0","0"
"8. Proposal Discussion Forum","","","0","0","17","0","0"
"5. Proposal functionality","","","1","0","11","0","0"
"7. Proposal submission","","","1","2","18","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"2. Delegation","","","1","9","16","1","0"
"6. Miscellaneous","","","1","1","16","0","0"
"4. Proposal visibility","","","2","0","12","1","0"
"3. DRep registration","","","2","1","18","0","0"
"Setup","","proposal","0","0","1","0","0"
"1. Wallet connect","","","0","0","5","0","0"
"Setup","","Cleanup","0","0","3","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
"Setup","","Faucet","0","0","1","0","0"
