"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"1. Wallet connect","","","0","0","4","0","0"
"","","","0","0","0","105","0"
"6. Miscellaneous","","","1","0","9","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","19","1","8","0","0"
"Setup","","Authentication","16","0","0","0","0"
"2. Delegation","","","3","0","0","0","0"
"4. Proposal visibility","","","3","0","0","0","0"
"8. Proposal Discussion Forum","","","10","0","0","0","0"
"7. Proposal submission","","","1","0","0","0","0"
"Setup","","Cleanup","1","0","0","0","0"
"3. DRep registration","","","1","0","0","0","0"
"Setup","","Faucet","1","0","0","0","0"
