"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","0","102","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","0","10","9","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"7. Proposal submission","","","0","0","1","0","0"
"4. Proposal visibility","","","0","0","3","0","0"
"1. Wallet connect","","","1","0","3","0","0"
"8. Proposal Discussion Forum","","","0","9","0","0","0"
"Setup","","Authentication","0","2","9","0","0"
"Setup","","proposal","0","0","1","0","0"
"6. Miscellaneous","","","0","1","1","0","0"
"Setup","","Faucet","0","0","1","0","0"
"2. Delegation","","","0","0","3","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
"3. DRep registration","","","0","0","1","0","0"
