"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"7. Proposal submission","","","9","0","9","0","0"
"","","","9","0","0","46","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","3","1","15","0","0"
"Setup","","Authentication","0","0","9","0","0"
"2. Delegation","","","0","0","7","0","0"
"3. DRep registration","","","0","0","9","0","0"
"1. Wallet connect","","","1","0","4","0","0"
"Proposal Discussion Forum","","","3","1","5","0","0"
"4. Proposal visibility","","","0","0","11","0","0"
"6. Miscellaneous","","","1","1","5","0","0"
"Setup","","Cleanup","1","0","0","0","0"
"Setup","","proposal","1","0","0","0","0"
"5. Proposal functionality","","","0","0","1","0","0"
"Setup","","Register DRep","2","0","0","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
"Setup","","Faucet","0","0","1","0","0"
