"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"8. Proposal Discussion Forum","","","0","2","15","0","0"
"2. Delegation","","","7","0","19","0","0"
"3. DRep registration","","","5","2","13","0","0"
"6. Miscellaneous","","6A. Should be accessible from mobile","2","2","22","0","0"
"5. Proposal functionality","","","0","7","4","0","0"
"4. Proposal visibility","","","2","3","9","1","0"
"7. Proposal submission","","","11","0","10","0","0"
"6. Miscellaneous","","","2","0","14","0","0"
"Setup","","Authentication","0","0","16","0","0"
"Setup","","Faucet","0","0","1","0","0"
"1. Wallet connect","","","0","0","5","0","0"
"Setup","","Register DRep","0","0","2","0","0"
"Setup","","Cleanup","0","0","1","0","0"
"Setup","","proposal","0","0","1","0","0"
"Setup","","Wallet bootstrap","0","0","1","0","0"
